Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.58   5637.26    40.87                             UpdateTree() (main_v2.3.2.cpp:2675 @ 40ac23)
  0.56   5676.64    39.38 5907644284     0.01     0.01  minf(float, float) (main_v2.3.2.cpp:334 @ 40e0f7)
  0.55   5715.69    39.05                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:766 @ 40e5bd)
  0.54   5753.98    38.29                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:777 @ 40e76b)
  0.53   5791.07    37.09                             Tree::CalcLAI() (main_v2.3.2.cpp:1046 @ 402adc)
  0.51   5827.15    36.09                             Tree::Fluxh(int) (main_v2.3.2.cpp:1099 @ 402f33)
  0.49   5861.82    34.67 1576443286     0.02     0.02  Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:753 @ 40e4ee)
  0.48   5895.43    33.61                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:789 @ 40e7cd)
  0.48   5929.04    33.60                             Species::UpdateSeed() (main_v2.3.2.cpp:651 @ 402083)
  0.46   5961.18    32.14                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:763 @ 40e53b)
  0.44   5992.43    31.25 11775954108     0.00     0.00  min(int, int) (main_v2.3.2.cpp:338 @ 40e12b)
  0.44   6023.30    30.86                             UpdateField() (main_v2.3.2.cpp:2522 @ 40a1b3)
  0.43   6053.81    30.51                             minf(float, float) (main_v2.3.2.cpp:335 @ 40e10e)
  0.43   6083.81    30.00                             UpdateTree() (main_v2.3.2.cpp:2685 @ 40ac1f)
  0.41   6112.96    29.15                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:761 @ 40e50e)
  0.39   6140.43    27.46                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:765 @ 40e590)
  0.39   6167.82    27.39                             Tree::Update() (main_v2.3.2.cpp:1361 @ 403fe6)
  0.38   6194.79    26.96                             Tree::CalcLAI() (main_v2.3.2.cpp:1047 @ 402b52)
  0.38   6221.37    26.58                             minf(float, float) (main_v2.3.2.cpp:337 @ 40e121)
  0.36   6246.91    25.54                             UpdateField() (main_v2.3.2.cpp:2444 @ 409ed8)
  0.34   6270.97    24.06                             Tree::Fluxh(int) (main_v2.3.2.cpp:1091 @ 402ffc)
  0.32   6293.15    22.18                             Tree::Fluxh(int) (main_v2.3.2.cpp:1095 @ 402ea8)
  0.31   6314.91    21.76                             UpdateTree() (main_v2.3.2.cpp:2675 @ 40ab0e)
  0.25   6332.66    17.74                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:788 @ 40e7b5)
  0.24   6349.81    17.16                             Tree::Fluxh(int) (main_v2.3.2.cpp:1079 @ 402d29)
  0.24   6366.51    16.70                             genrand2() (main_v2.3.2.cpp:3266 @ 40daf9)
  0.23   6382.65    16.14                             Tree::Fluxh(int) (main_v2.3.2.cpp:1107 @ 403054)
  0.21   6397.58    14.93                             Tree::Update() (main_v2.3.2.cpp:1366 @ 404088)
  0.19   6411.00    13.42                             UpdateTreefall() (main_v2.3.2.cpp:2765 @ 40afdb)
  0.19   6424.26    13.26 147933113     0.09     0.09  std::sin(float) (cmath:445 @ 40e018)
  0.17   6436.24    11.97                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:787 @ 40e7a9)
  0.17   6448.20    11.97                             UpdateTree() (main_v2.3.2.cpp:2679 @ 40ab71)
  0.16   6459.52    11.32                             Tree::Fluxh(int) (main_v2.3.2.cpp:1102 @ 402fc2)
  0.15   6470.42    10.89                             UpdateField() (main_v2.3.2.cpp:2492 @ 409fee)
  0.15   6481.27    10.86                             Species::FillSeed(int, int) (main_v2.3.2.cpp:577 @ 401fed)
  0.15   6491.78    10.51                             genrand2i() (main_v2.3.2.cpp:3312 @ 40dd73)
  0.15   6502.27    10.48                             Tree::CalcLAI() (main_v2.3.2.cpp:1020 @ 40295a)
  0.14   6512.39    10.13                             UpdateField() (main_v2.3.2.cpp:2443 @ 409fc4)
  0.14   6522.44    10.05                             Tree::Fluxh(int) (main_v2.3.2.cpp:1101 @ 402f88)
  0.14   6532.05     9.62                             UpdateTree() (main_v2.3.2.cpp:2705 @ 40ad40)
  0.14   6541.56     9.51                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:787 @ 40e833)
  0.12   6550.30     8.74                             Tree::Fluxh(int) (main_v2.3.2.cpp:1094 @ 402e9b)
  0.12   6558.92     8.62                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:725 @ 40e3a7)
  0.12   6567.24     8.33                             min(int, int) (main_v2.3.2.cpp:340 @ 40e14b)
  0.12   6575.47     8.22                             genrand2i() (main_v2.3.2.cpp:3301 @ 40dc9d)
  0.11   6583.37     7.90                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:813 @ 40e9f8)
  0.11   6590.97     7.60                             UpdateTreefall() (main_v2.3.2.cpp:2753 @ 40af6a)
  0.11   6598.56     7.59                             Tree::Growth() (main_v2.3.2.cpp:1157 @ 4032d3)
  0.11   6606.02     7.46                             UpdateField() (main_v2.3.2.cpp:2443 @ 409ecc)
  0.11   6613.46     7.44                             maxf(float, float) (main_v2.3.2.cpp:333 @ 40e0ed)
  0.10   6620.53     7.08                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:772 @ 40e62b)
  0.10   6627.46     6.93                             min(int, int) (main_v2.3.2.cpp:339 @ 40e13e)
  0.09   6634.13     6.68                             UpdateTree() (main_v2.3.2.cpp:2669 @ 40adfd)
  0.09   6640.60     6.46                             Tree::CalcLAI() (main_v2.3.2.cpp:1037 @ 402c5d)
  0.09   6646.93     6.34                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:735 @ 40e4e4)
  0.09   6653.20     6.27                             Tree::Fluxh(int) (main_v2.3.2.cpp:1091 @ 402e70)
  0.09   6659.34     6.15                             Tree::DisperseSeed() (main_v2.3.2.cpp:1328 @ 403da4)
  0.09   6665.44     6.10                             Tree::Fluxh(int) (main_v2.3.2.cpp:1093 @ 402e8e)
