Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.01   7022.06     0.38                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:929 @ 4021d3)
  0.01   7022.43     0.38 654530083     0.00     0.00  __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) (cmath:434 @ 40ec7c)
  0.01   7022.81     0.38                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:924 @ 402166)
  0.01   7023.16     0.36                             Tree::Death() (main_v2.3.2.cpp:1305 @ 403cd4)
  0.00   7023.51     0.35                             Tree::Death() (main_v2.3.2.cpp:1315 @ 403d8f)
  0.00   7023.86     0.35 654536679     0.00     0.00  Tree::Growth() (main_v2.3.2.cpp:1118 @ 403118)
  0.00   7024.20     0.35                             Tree::Average() (main_v2.3.2.cpp:1505 @ 405072)
  0.00   7024.53     0.33                             Tree::Growth() (main_v2.3.2.cpp:1125 @ 40315d)
  0.00   7024.86     0.33                             Tree::Growth() (main_v2.3.2.cpp:1163 @ 4033bd)
  0.00   7025.19     0.33                             Tree::Average() (main_v2.3.2.cpp:1504 @ 40504b)
  0.00   7025.52     0.33                             Tree::Growth() (main_v2.3.2.cpp:1159 @ 403365)
  0.00   7025.84     0.33                             Tree::Growth() (main_v2.3.2.cpp:1180 @ 403499)
  0.00   7026.16     0.32 654536679     0.00     0.00  Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1228 @ 403772)
  0.00   7026.48     0.32                             UpdateTreefall() (main_v2.3.2.cpp:2745 @ 40aed9)
  0.00   7026.80     0.32                             Tree::CalcLAI() (main_v2.3.2.cpp:1034 @ 4029c2)
  0.00   7027.11     0.31                             Tree::Growth() (main_v2.3.2.cpp:1201 @ 40362b)
  0.00   7027.42     0.31                             Tree::Growth() (main_v2.3.2.cpp:1121 @ 403129)
  0.00   7027.72     0.30                             Tree::Growth() (main_v2.3.2.cpp:1219 @ 403750)
  0.00   7028.01     0.29                             Tree::Growth() (main_v2.3.2.cpp:1221 @ 40376f)
  0.00   7028.29     0.29                             Tree::FallTree() (main_v2.3.2.cpp:1449 @ 404c8b)
  0.00   7028.58     0.29                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:936 @ 4022a0)
  0.00   7028.85     0.27                             genrand2i() (main_v2.3.2.cpp:3299 @ 40dcd8)
  0.00   7029.11     0.26                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1263 @ 4039c1)
  0.00   7029.36     0.25                             Tree::Growth() (main_v2.3.2.cpp:1123 @ 403143)
  0.00   7029.60     0.25                             genrand2() (main_v2.3.2.cpp:3257 @ 40da98)
  0.00   7029.85     0.25                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:731 @ 40e426)
  0.00   7030.09     0.24                             Tree::DisperseSeed() (main_v2.3.2.cpp:1338 @ 403fb6)
  0.00   7030.33     0.24                             Tree::Growth() (main_v2.3.2.cpp:1129 @ 403176)
  0.00   7030.56     0.24 213842063     0.00     0.00  Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1259 @ 4039b0)
  0.00   7030.80     0.24                             Tree::FallTree() (main_v2.3.2.cpp:1452 @ 404c97)
  0.00   7031.03     0.23                             genrand2() (main_v2.3.2.cpp:3240 @ 40d929)
  0.00   7031.25     0.22                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1276 @ 403b5f)
  0.00   7031.47     0.22                             Tree::Update() (main_v2.3.2.cpp:1380 @ 404372)
  0.00   7031.69     0.22                             Species::DeathRateNDD(float, float, int, float) (main_v2.3.2.cpp:718 @ 40e376)
  0.00   7031.91     0.22                             __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float) (cmath:438 @ 40ec71)
  0.00   7032.12     0.22                             Tree::Fluxh(int) (main_v2.3.2.cpp:1078 @ 402d22)
  0.00   7032.33     0.21                             Tree::Couple() (main_v2.3.2.cpp:1493 @ 404ff9)
  0.00   7032.54     0.21                             Tree::Growth() (main_v2.3.2.cpp:1124 @ 403150)
  0.00   7032.75     0.21                             Tree::Update() (main_v2.3.2.cpp:1363 @ 404003)
  0.00   7032.96     0.21                             genrand2() (main_v2.3.2.cpp:3250 @ 40d9d3)
  0.00   7033.16     0.21                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1257 @ 4039ad)
  0.00   7033.36     0.20                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1265 @ 403a2d)
  0.00   7033.56     0.20                             genrand2() (main_v2.3.2.cpp:3250 @ 40da41)
  0.00   7033.74     0.18                             Tree::Update() (main_v2.3.2.cpp:1391 @ 40466c)
  0.00   7033.90     0.17                             __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) (cmath:438 @ 40ecb6)
  0.00   7034.06     0.16                             Tree::Growth() (main_v2.3.2.cpp:1131 @ 403190)
  0.00   7034.22     0.16 147772310     0.00     0.00  Species::FillSeed(int, int) (main_v2.3.2.cpp:568 @ 401f72)
  0.00   7034.38     0.16                             genrand2() (main_v2.3.2.cpp:3246 @ 40d951)
  0.00   7034.53     0.15                             Tree::Growth() (main_v2.3.2.cpp:1130 @ 403183)
  0.00   7034.67     0.14                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:811 @ 40e971)
  0.00   7034.81     0.14                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:724 @ 40e39e)
  0.00   7034.95     0.14      726   185.98   185.98  maxf(float, float) (main_v2.3.2.cpp:330 @ 40e0c3)
  0.00   7035.08     0.14                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:949 @ 4023f5)
  0.00   7035.21     0.13                             genrand2i() (main_v2.3.2.cpp:3289 @ 40dbc0)
  0.00   7035.33     0.12                             OutputField() (main_v2.3.2.cpp:2984 @ 40c7ca)
  0.00   7035.45     0.12                             Tree::DisperseSeed() (main_v2.3.2.cpp:1343 @ 403f9b)
  0.00   7035.57     0.12                             Tree::BirthFromData(Species*, int, int, float) (main_v2.3.2.cpp:1008 @ 402946)
  0.00   7035.69     0.12                             Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (main_v2.3.2.cpp:535 @ 401f2c)
  0.00   7035.80     0.11                             UpdateTree() (main_v2.3.2.cpp:2731 @ 40ae85)
  0.00   7035.91     0.11                             Species::UpdateSeed() (main_v2.3.2.cpp:661 @ 402124)
  0.00   7035.99     0.08                             flor(float) (main_v2.3.2.cpp:324 @ 40e0b3)
  0.00   7036.06     0.07                             UpdateTreefall() (main_v2.3.2.cpp:2745 @ 40af3e)
  0.00   7036.13     0.07                             Species::FillSeed(int, int) (main_v2.3.2.cpp:571 @ 401f98)
  0.00   7036.19     0.06                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1294 @ 403cb3)
  0.00   7036.25     0.06                             Average() (main_v2.3.2.cpp:2794 @ 40b101)
  0.00   7036.30     0.06                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:950 @ 402470)
  0.00   7036.35     0.05                             Average() (main_v2.3.2.cpp:2801 @ 40b1d1)
  0.00   7036.40     0.05                             Tree::Growth() (main_v2.3.2.cpp:1126 @ 40316a)
  0.00   7036.45     0.05                             Tree::Growth() (main_v2.3.2.cpp:1209 @ 403637)
  0.00   7036.50     0.05                             genrand2() (main_v2.3.2.cpp:3254 @ 40da4e)
  0.00   7036.54     0.04                             Average() (main_v2.3.2.cpp:2793 @ 40b134)
  0.00   7036.58     0.04                             Average() (main_v2.3.2.cpp:2883 @ 40bf16)
  0.00   7036.62     0.04                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:931 @ 40226c)
  0.00   7036.66     0.04                             Tree::Growth() (main_v2.3.2.cpp:1197 @ 40361f)
  0.00   7036.69     0.04                             AllocMem() (main_v2.3.2.cpp:2313 @ 409a6d)
  0.00   7036.73     0.04                             Tree::Fluxh(int) (main_v2.3.2.cpp:1070 @ 402cd1)
  0.00   7036.76     0.04                             Tree::Update() (main_v2.3.2.cpp:1364 @ 40400e)
  0.00   7036.80     0.04                             Tree::Update() (main_v2.3.2.cpp:1372 @ 4040f5)
  0.00   7036.83     0.04                             Species::FillSeed(int, int) (main_v2.3.2.cpp:570 @ 401f89)
  0.00   7036.87     0.04                             UpdateTree() (main_v2.3.2.cpp:2690 @ 40ac40)
  0.00   7036.90     0.03                             Average() (main_v2.3.2.cpp:2835 @ 40b78c)
  0.00   7036.93     0.03                             genrand2() (main_v2.3.2.cpp:3243 @ 40d93a)
  0.00   7036.96     0.03                             genrand2i() (main_v2.3.2.cpp:3303 @ 40dce5)
  0.00   7036.99     0.03                             Tree::DisperseSeed() (main_v2.3.2.cpp:1335 @ 403e7a)
  0.00   7037.02     0.03                             Tree::Growth() (main_v2.3.2.cpp:1122 @ 403136)
  0.00   7037.05     0.03                             Tree::Growth() (main_v2.3.2.cpp:1149 @ 403273)
  0.00   7037.08     0.03                             Species::FillSeed(int, int) (main_v2.3.2.cpp:572 @ 401fad)
  0.00   7037.11     0.03                             Species::FillSeed(int, int) (main_v2.3.2.cpp:573 @ 401fc1)
  0.00   7037.14     0.03                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:732 @ 40e43d)
  0.00   7037.17     0.03                             std::atan2(float, float) (cmath:164 @ 40df04)
  0.00   7037.20     0.03                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:930 @ 402254)
  0.00   7037.22     0.02 27111540     0.00     0.00  Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:919 @ 402126)
  0.00   7037.24     0.02                             Average() (main_v2.3.2.cpp:2868 @ 40bc9b)
  0.00   7037.26     0.02                             genrand2() (main_v2.3.2.cpp:3255 @ 40da6e)
  0.00   7037.28     0.02                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:939 @ 402348)
  0.00   7037.30     0.02                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:940 @ 402355)
  0.00   7037.32     0.02                             Tree::Death() (main_v2.3.2.cpp:1309 @ 403d30)
  0.00   7037.34     0.02                             Tree::Growth() (main_v2.3.2.cpp:1145 @ 4031bb)
  0.00   7037.36     0.02                             Tree::Update() (main_v2.3.2.cpp:1394 @ 40467a)
  0.00   7037.37     0.02                             UpdateTree() (main_v2.3.2.cpp:2695 @ 40acaa)
  0.00   7037.39     0.02                             Tree::DisperseSeed() (main_v2.3.2.cpp:1338 @ 403e89)
  0.00   7037.40     0.02                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:932 @ 402279)
  0.00   7037.42     0.02                             Tree::Update() (main_v2.3.2.cpp:1375 @ 404129)
  0.00   7037.43     0.01 27002806     0.00     0.00  Tree::Death() (main_v2.3.2.cpp:1302 @ 403cb6)
  0.00   7037.44     0.01                             UpdateField() (main_v2.3.2.cpp:2435 @ 409e6e)
  0.00   7037.45     0.01                             UpdateField() (main_v2.3.2.cpp:2520 @ 40a274)
  0.00   7037.46     0.01                             Average() (main_v2.3.2.cpp:2793 @ 40b0f8)
  0.00   7037.47     0.01                             Average() (main_v2.3.2.cpp:2810 @ 40b35b)
  0.00   7037.48     0.01                             Average() (main_v2.3.2.cpp:2813 @ 40b3a3)
  0.00   7037.49     0.01                             Average() (main_v2.3.2.cpp:2819 @ 40b4c3)
  0.00   7037.50     0.01                             Average() (main_v2.3.2.cpp:2821 @ 40b518)
  0.00   7037.51     0.01                             Average() (main_v2.3.2.cpp:2831 @ 40b6e2)
  0.00   7037.52     0.01                             Average() (main_v2.3.2.cpp:2833 @ 40b737)
  0.00   7037.53     0.01                             Average() (main_v2.3.2.cpp:2841 @ 40b8d4)
  0.00   7037.54     0.01                             Average() (main_v2.3.2.cpp:2845 @ 40b9ac)
  0.00   7037.55     0.01                             Average() (main_v2.3.2.cpp:2858 @ 40bbfe)
  0.00   7037.56     0.01                             Average() (main_v2.3.2.cpp:2874 @ 40bd99)
  0.00   7037.57     0.01                             Average() (main_v2.3.2.cpp:2877 @ 40be18)
  0.00   7037.58     0.01                             Evolution() (main_v2.3.2.cpp:2389 @ 409bdb)
  0.00   7037.59     0.01                             Tree::DisperseSeed() (main_v2.3.2.cpp:1330 @ 403df5)
  0.00   7037.60     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:921 @ 402141)
  0.00   7037.61     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:922 @ 40214b)
  0.00   7037.62     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:925 @ 402194)
  0.00   7037.63     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:928 @ 4021c6)
  0.00   7037.64     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:941 @ 402363)
  0.00   7037.65     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:951 @ 402484)
  0.00   7037.66     0.01                             Tree::Death() (main_v2.3.2.cpp:1312 @ 403d71)
  0.00   7037.67     0.01                             Tree::Growth() (main_v2.3.2.cpp:1175 @ 40343e)
  0.00   7037.68     0.01                             Tree::Update() (main_v2.3.2.cpp:1378 @ 4042b5)
  0.00   7037.69     0.01                             Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (main_v2.3.2.cpp:544 @ 401f62)
  0.00   7037.69     0.01                             AllocMem() (main_v2.3.2.cpp:2312 @ 409a99)
  0.00   7037.70     0.01                             genrand2i() (main_v2.3.2.cpp:3304 @ 40dd05)
  0.00   7037.70     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:926 @ 4021a1)
  0.00   7037.71     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:934 @ 402293)
  0.00   7037.71     0.01                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:945 @ 4023cd)
  0.00   7037.72     0.01                             Tree::Death() (main_v2.3.2.cpp:1304 @ 403cc7)
  0.00   7037.72     0.01                             Tree::Death() (main_v2.3.2.cpp:1313 @ 403d80)
  0.00   7037.73     0.01                             Species::FillSeed(int, int) (main_v2.3.2.cpp:574 @ 401fcc)
  0.00   7037.73     0.00   978000     0.00     0.00  Species::UpdateSeed() (main_v2.3.2.cpp:635 @ 40202c)
  0.00   7037.73     0.00   640000     0.00     0.00  Tree::histdbh() (main_v2.3.2.cpp:1520 @ 405428)
  0.00   7037.73     0.00   160000     0.00     0.00  Tree::Tree() (main_v2.3.2.cpp:867 @ 40ea50)
  0.00   7037.73     0.00   160000     0.00     0.00  Tree::~Tree() (main_v2.3.2.cpp:884 @ 40eb78)
  0.00   7037.73     0.00     6000     0.00     0.00  UpdateTree() (main_v2.3.2.cpp:2579 @ 40a675)
  0.00   7037.73     0.00     6000     0.00     0.00  OutputField() (main_v2.3.2.cpp:2969 @ 40c6f4)
  0.00   7037.73     0.00     6000     0.00     0.00  UpdateField() (main_v2.3.2.cpp:2400 @ 409bf7)
  0.00   7037.73     0.00     6000     0.00     0.00  UpdateTreefall() (main_v2.3.2.cpp:2742 @ 40aecc)
  0.00   7037.73     0.00     6000     0.00     0.00  Average() (main_v2.3.2.cpp:2786 @ 40b067)
  0.00   7037.73     0.00     6000     0.00     0.00  Evolution() (main_v2.3.2.cpp:2385 @ 409bc8)
  0.00   7037.73     0.00      815     0.00     0.00  std::log10(float) (cmath:377 @ 40dfe4)
  0.00   7037.73     0.00      326     0.00     0.00  __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float) (cmath:434 @ 40ec33)
  0.00   7037.73     0.00      164     0.00     0.00  Species::Species() (main_v2.3.2.cpp:408 @ 40e1a2)
  0.00   7037.73     0.00      164     0.00     0.00  Species::~Species() (main_v2.3.2.cpp:416 @ 40e1da)
  0.00   7037.73     0.00      163     0.00     0.00  Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (main_v2.3.2.cpp:446 @ 4016de)
  0.00   7037.73     0.00      163     0.00     0.00  __gnu_cxx::__promote_2<int, double, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<int, double>(int, double) (cmath:434 @ 40ebf3)
  0.00   7037.73     0.00        1     0.00     0.00  _GLOBAL__sub_I_buffer (main_v2.3.2.cpp:3316 @ 40deea)
  0.00   7037.73     0.00        1     0.00     0.00  Initialise() (main_v2.3.2.cpp:1726 @ 406336)
  0.00   7037.73     0.00        1     0.00     0.00  sgenrand2i(unsigned long) (main_v2.3.2.cpp:3273 @ 40db3e)
  0.00   7037.73     0.00        1     0.00     0.00  OutputSnapshot(std::basic_fstream<char, std::char_traits<char> >&) (main_v2.3.2.cpp:3016 @ 40c9b3)
  0.00   7037.73     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) (main_v2.3.2.cpp:3316 @ 40ddd1)
  0.00   7037.73     0.00        1     0.00     0.00  FreeMem() (main_v2.3.2.cpp:3162 @ 40d67b)
  0.00   7037.73     0.00        1     0.00     0.00  AllocMem() (main_v2.3.2.cpp:2244 @ 409499)
  0.00   7037.73     0.00        1     0.00     0.00  BirthInit() (main_v2.3.2.cpp:2367 @ 409b96)
  0.00   7037.73     0.00        1     0.00     0.00  sgenrand2(unsigned long) (main_v2.3.2.cpp:3222 @ 40d8a7)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.00% of 7037.73 seconds

index % time    self  children    called     name
                0.00    0.00     400/1576443686     Initialise() (main_v2.3.2.cpp:2040 @ 4084fa) [328]
              156.21    0.00 1576443286/1576443686     Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:768 @ 40e5ea) [7]
[11]     2.2  156.21    0.00 1576443686         std::sqrt(float) (cmath:483 @ 40e04c) [11]
-----------------------------------------------
                0.00    0.00     163/5907644284     Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (main_v2.3.2.cpp:502 @ 401ae5) [416]
                0.00    0.00     163/5907644284     Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (main_v2.3.2.cpp:504 @ 401c0e) [417]
                0.00    0.00     400/5907644284     Initialise() (main_v2.3.2.cpp:2042 @ 408577) [414]
                6.40    0.00 959602938/5907644284     Tree::Fluxh(int) (main_v2.3.2.cpp:1079 @ 402d29) [44]
               10.51    0.00 1576443286/5907644284     Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:774 @ 40e6e6) [3]
               22.47    0.00 3371597334/5907644284     Tree::Fluxh(int) (main_v2.3.2.cpp:1098 @ 402ecd) [9]
[24]     0.6   39.38    0.00 5907644284         minf(float, float) (main_v2.3.2.cpp:334 @ 40e0f7) [24]
-----------------------------------------------
               34.67    0.00 1576443286/1576443286     Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:792 @ 40e7df) [12]
[29]     0.5   34.67    0.00 1576443286         Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:753 @ 40e4ee) [29]
-----------------------------------------------
                0.00    0.00   59429/11775954108     Tree::FallTree() (main_v2.3.2.cpp:1440 @ 404a28) [409]
                4.66    0.00 1754849697/11775954108     Tree::CalcLAI() (main_v2.3.2.cpp:1036 @ 402c89) [75]
                7.33    0.00 2760838907/11775954108     Tree::Fluxh(int) (main_v2.3.2.cpp:1091 @ 402ffc) [33]
                7.88    0.00 2969786288/11775954108     Tree::Fluxh(int) (main_v2.3.2.cpp:1090 @ 403028) [55]
               11.39    0.00 4290419787/11775954108     Tree::CalcLAI() (main_v2.3.2.cpp:1037 @ 402c5d) [47]
[34]     0.4   31.25    0.00 11775954108         min(int, int) (main_v2.3.2.cpp:338 @ 40e12b) [34]
-----------------------------------------------
                0.00    0.00    6596/147933113     Tree::FallTree() (main_v2.3.2.cpp:1438 @ 4048e0) [408]
                0.01    0.00  154207/147933113     Tree::FallTree() (main_v2.3.2.cpp:1430 @ 404822) [372]
               13.25    0.00 147772310/147933113     Tree::DisperseSeed() (main_v2.3.2.cpp:1343 @ 403f2d) [52]
[54]     0.2   13.26    0.00 147933113         std::sin(float) (cmath:445 @ 40e018) [54]
-----------------------------------------------
                4.74    0.00 504078704/504078704     UpdateField() (main_v2.3.2.cpp:2521 @ 40a1a7) [86]
[102]    0.1    4.74    0.00 504078704         genrand2i() (main_v2.3.2.cpp:3284 @ 40dbb3) [102]
-----------------------------------------------
                0.00    0.00     163/4724642744     AllocMem() (main_v2.3.2.cpp:2254 @ 4094bd) [418]
                0.00    0.00    6596/4724642744     Tree::FallTree() (main_v2.3.2.cpp:1440 @ 404930) [412]
                0.43    0.00 541106618/4724642744     Tree::Fluxh(int) (main_v2.3.2.cpp:1090 @ 402e52) [131]
                0.52    0.00 654421349/4724642744     Tree::CalcLAI() (main_v2.3.2.cpp:1036 @ 4029d2) [191]
                0.87    0.00 1100428348/4724642744     Tree::CalcLAI() (main_v2.3.2.cpp:1037 @ 4029f0) [123]
                1.92    0.00 2428679670/4724642744     Tree::Fluxh(int) (main_v2.3.2.cpp:1091 @ 402e70) [72]
[108]    0.1    3.73    0.00 4724642744         max(int, int) (main_v2.3.2.cpp:342 @ 40e150) [108]
-----------------------------------------------
                2.04    0.00 1500709556/1500709556     Tree::Growth() (main_v2.3.2.cpp:1156 @ 4032c2) [116]
[153]    0.0    2.04    0.00 1500709556         Tree::Fluxh(int) (main_v2.3.2.cpp:1069 @ 402cbc) [153]
-----------------------------------------------
                1.48    0.00 1500709556/1500709556     Tree::Growth() (main_v2.3.2.cpp:1157 @ 4032d3) [67]
[175]    0.0    1.48    0.00 1500709556         Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:784 @ 40e776) [175]
-----------------------------------------------
                1.05    0.37 654536679/654536679     UpdateTreefall() (main_v2.3.2.cpp:2754 @ 40af9d) [121]
[179]    0.0    1.05    0.37 654536679         Tree::FallTree() (main_v2.3.2.cpp:1407 @ 4046a0) [179]
                0.37    0.00 654536679/2340583938     genrand2() (main_v2.3.2.cpp:3235 @ 40d91c) [184]
-----------------------------------------------
                0.00    0.00       1/2340583938     main (main_v2.3.2.cpp:1611 @ 405df6) [419]
                0.00    0.00       1/2340583938     main (main_v2.3.2.cpp:1612 @ 405e03) [420]
                0.00    0.00       1/2340583938     main (main_v2.3.2.cpp:1613 @ 405e77) [421]
                0.00    0.00    6596/2340583938     Tree::FallTree() (main_v2.3.2.cpp:1414 @ 4046ee) [413]
                0.02    0.00 27111540/2340583938     Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:929 @ 4021d3) [258]
                0.02    0.00 27111540/2340583938     Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:949 @ 4023f5) [312]
                0.08    0.00 147772310/2340583938     Tree::DisperseSeed() (main_v2.3.2.cpp:1340 @ 403e95) [177]
                0.08    0.00 147772310/2340583938     Tree::DisperseSeed() (main_v2.3.2.cpp:1341 @ 403f0f) [231]
                0.37    0.00 654536679/2340583938     Tree::FallTree() (main_v2.3.2.cpp:1407 @ 4046a0) [179]
                0.37    0.00 654740071/2340583938     Tree::Update() (main_v2.3.2.cpp:1382 @ 404383) [93]
                0.38    0.00 681532889/2340583938     Tree::Update() (main_v2.3.2.cpp:1364 @ 40400e) [257]
[184]    0.0    1.32    0.00 2340583938         genrand2() (main_v2.3.2.cpp:3235 @ 40d91c) [184]
-----------------------------------------------
                0.00    0.00     400/305412876     Initialise() (main_v2.3.2.cpp:2039 @ 4084b8) [415]
                1.18    0.00 305412476/305412876     UpdateTree() (main_v2.3.2.cpp:2704 @ 40ace5) [79]
[192]    0.0    1.18    0.00 305412876         std::exp(float) (cmath:242 @ 40df7c) [192]
-----------------------------------------------
                1.14    0.00 960000000/960000000     UpdateTree() (main_v2.3.2.cpp:2725 @ 40ae50) [125]
[194]    0.0    1.14    0.00 960000000         Tree::Update() (main_v2.3.2.cpp:1357 @ 403fce) [194]
-----------------------------------------------
                0.00    0.00    6000/871335198     main (main_v2.3.2.cpp:1666 @ 40613c) [411]
                0.00    0.00  156018/871335198     Tree::FallTree() (main_v2.3.2.cpp:1427 @ 4047dd) [407]
                0.00    0.00 2150941/871335198     Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1265 @ 403a2d) [309]
                0.03    0.00 27111540/871335198     Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:929 @ 4021d3) [258]
                0.03    0.00 27111540/871335198     Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:949 @ 4023f5) [312]
                0.14    0.00 147772310/871335198     Tree::DisperseSeed() (main_v2.3.2.cpp:1343 @ 403f2d) [52]
                0.14    0.00 147772310/871335198     Tree::DisperseSeed() (main_v2.3.2.cpp:1342 @ 403f65) [174]
                0.20    0.00 213842063/871335198     Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1271 @ 403a95) [124]
                0.29    0.00 305412476/871335198     UpdateTree() (main_v2.3.2.cpp:2704 @ 40ace5) [79]
[216]    0.0    0.82    0.00 871335198         flor(float) (main_v2.3.2.cpp:322 @ 40e08f) [216]
-----------------------------------------------
                0.77    0.00 960000000/960000000     UpdateField() (main_v2.3.2.cpp:2440 @ 409e89) [133]
[219]    0.0    0.77    0.00 960000000         Tree::CalcLAI() (main_v2.3.2.cpp:1019 @ 402948) [219]
-----------------------------------------------
                0.00    0.00    6596/147934924     Tree::FallTree() (main_v2.3.2.cpp:1435 @ 4048a0) [410]
                0.00    0.00  156018/147934924     Tree::FallTree() (main_v2.3.2.cpp:1427 @ 4047dd) [407]
                0.63    0.00 147772310/147934924     Tree::DisperseSeed() (main_v2.3.2.cpp:1342 @ 403f65) [174]
[232]    0.0    0.63    0.00 147934924         std::cos(float) (cmath:204 @ 40df48) [232]
-----------------------------------------------
                0.54    0.00 960000000/960000000     Average() (main_v2.3.2.cpp:2808 @ 40b31d) [112]
[243]    0.0    0.54    0.00 960000000         Tree::Average() (main_v2.3.2.cpp:1501 @ 405000) [243]
-----------------------------------------------
                0.47    0.00 681532889/681532889     Tree::Update() (main_v2.3.2.cpp:1366 @ 404088) [51]
[251]    0.0    0.47    0.00 681532889         Species::DeathRate(float, float, int) (main_v2.3.2.cpp:722 @ 40e380) [251]
-----------------------------------------------
                0.43    0.00 654421349/654421349     UpdateField() (main_v2.3.2.cpp:2493 @ 40a021) [156]
[256]    0.0    0.43    0.00 654421349         Tree::DisperseSeed() (main_v2.3.2.cpp:1323 @ 403d92) [256]
-----------------------------------------------
                0.38    0.00 654530083/654530083     Tree::Average() (main_v2.3.2.cpp:1511 @ 405214) [95]
