Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.15   4404.96     7.64                             maxf(float, float) (troll.cpp:349 @ 40e271)
  0.15   4412.56     7.59                             Tree::Fluxh(int) (troll.cpp:1298 @ 4032d4)
  0.15   4420.08     7.53                             Species::GPPleaf(float, float, float) (troll.cpp:893 @ 40e8f3)
  0.14   4427.28     7.20                             Tree::Fluxh(int) (troll.cpp:1309 @ 403415)
  0.13   4433.95     6.68                             min(int, int) (troll.cpp:357 @ 40e2d2)
  0.13   4440.50     6.55                             min(int, int) (troll.cpp:355 @ 40e2c2)
  0.13   4447.01     6.51                             Tree::CalcLAI() (troll.cpp:1243 @ 402f1f)
  0.13   4453.39     6.37                             genrand2i() (troll.cpp:3549 @ 40deed)
  0.13   4459.66     6.28                             genrand2i() (troll.cpp:3546 @ 40debf)
  0.12   4465.82     6.16                             UpdateField() (troll.cpp:2785 @ 40a735)
  0.12   4471.96     6.14                             Tree::Growth() (troll.cpp:1396 @ 403956)
  0.12   4477.99     6.03                             Tree::Fluxh(int) (troll.cpp:1299 @ 4032e1)
  0.11   4483.71     5.72                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:927 @ 40ed95)
  0.11   4489.36     5.65                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:919 @ 40ebe5)
  0.11   4494.96     5.61                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:943 @ 40f0f5)
  0.11   4500.48     5.52                             UpdateField() (troll.cpp:2779 @ 40a7b9)
  0.11   4505.96     5.48                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:953 @ 40f311)
  0.11   4511.43     5.48                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:913 @ 40eaa1)
  0.11   4516.88     5.45                             genrand2i() (troll.cpp:3533 @ 40dd8b)
  0.11   4522.28     5.40                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:945 @ 40f161)
  0.11   4527.66     5.38                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:955 @ 40f37d)
  0.11   4533.02     5.36                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:939 @ 40f01d)
  0.11   4538.36     5.35                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:935 @ 40ef45)
  0.11   4543.68     5.32                             Tree::Fluxh(int) (troll.cpp:1293 @ 40344a)
  0.11   4549.00     5.32                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:941 @ 40f089)
  0.11   4554.31     5.31                             Tree::Fluxh(int) (troll.cpp:1283 @ 4031ea)
  0.11   4559.57     5.26                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:931 @ 40ee6d)
  0.10   4564.77     5.20                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:937 @ 40efb1)
  0.10   4569.97     5.20                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:957 @ 40f3e9)
  0.10   4575.15     5.19                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:949 @ 40f239)
  0.10   4580.32     5.17                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:925 @ 40ed29)
  0.10   4585.48     5.17                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:951 @ 40f2a5)
  0.10   4590.64     5.16                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:947 @ 40f1cd)
  0.10   4595.78     5.14                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:929 @ 40ee01)
  0.10   4600.89     5.11                             Tree::Fluxh(int) (troll.cpp:1295 @ 4032b3)
  0.10   4605.99     5.10                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:917 @ 40eb79)
  0.10   4611.07     5.08                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:921 @ 40ec51)
  0.10   4616.10     5.03                             std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:906 @ 40fab4)
  0.10   4621.13     5.03                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:915 @ 40eb0d)
  0.10   4626.05     4.93                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:933 @ 40eed9)
  0.10   4630.89     4.84                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:923 @ 40ecbd)
  0.09   4635.63     4.74                             UpdateTree() (troll.cpp:2943 @ 40b0ee)
  0.09   4640.29     4.66 3783529118     0.00     0.00  operator new(unsigned long, void*) (new:110 @ 40e06d)
  0.09   4644.93     4.64                             Tree::Fluxh(int) (troll.cpp:1282 @ 4031cf)
  0.09   4649.30     4.37                             Tree::Average() (troll.cpp:1716 @ 4053e9)
  0.08   4653.44     4.14                             Tree::Update() (troll.cpp:1596 @ 40475b)
  0.08   4657.55     4.11 3783529118     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:901 @ 40fa8a)
  0.08   4661.65     4.10                             Tree::Average() (troll.cpp:1725 @ 4055ec)
  0.08   4665.73     4.08                             Tree::Fluxh(int) (troll.cpp:1302 @ 40330f)
  0.08   4669.74     4.02                             Tree::FallTree() (troll.cpp:1626 @ 404a90)
  0.08   4673.75     4.01                             genrand2i() (troll.cpp:3545 @ 40dea2)
  0.08   4677.74     3.99                             genrand2() (troll.cpp:3488 @ 40db6f)
  0.08   4681.71     3.97                             Tree::UpdateLeafDynamics() (troll.cpp:1445 @ 403b5b)
  0.08   4685.66     3.95                             void __gnu_cxx::__alloc_traits<std::allocator<int> >::construct<int>(std::allocator<int>&, int*, int const&) (alloc_traits.h:216 @ 40fede)
  0.08   4689.57     3.92                             Tree::CalcLAI() (troll.cpp:1214 @ 402ccd)
  0.08   4693.42     3.85                             Tree::Fluxh(int) (troll.cpp:1289 @ 403256)
  0.08   4697.21     3.79                             UpdateTree() (troll.cpp:2948 @ 40b193)
  0.07   4700.93     3.72 2339055096     0.00     0.00  genrand2() (troll.cpp:3471 @ 40da85)
  0.07   4704.61     3.68                             genrand2() (troll.cpp:3500 @ 40dc56)
  0.07   4708.26     3.65 504078704     0.00     0.00  genrand2i() (troll.cpp:3520 @ 40dd1c)
  0.07   4711.90     3.64 4730107229     0.00     0.00  max(int, int) (troll.cpp:358 @ 40e2d4)
  0.07   4715.40     3.50                             Tree::UpdateLeafDynamics() (troll.cpp:1465 @ 403cea)
  0.07   4718.87     3.47                             genrand2() (troll.cpp:3499 @ 40dc45)
