Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.01   4953.83     0.56                             Tree::Fluxh(int) (troll.cpp:1279 @ 40316c)
  0.01   4954.38     0.55                             Tree::Death() (troll.cpp:1529 @ 404167)
  0.01   4954.92     0.55                             Tree::UpdateLeafDynamics() (troll.cpp:1455 @ 403c08)
  0.01   4955.46     0.54                             Tree::UpdateLeafDynamics() (troll.cpp:1458 @ 403c6d)
  0.01   4955.99     0.54                             Tree::Fluxh(int) (troll.cpp:1274 @ 403138)
  0.01   4956.52     0.53 658505498     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() (stl_vector.h:113 @ 410298)
  0.01   4957.05     0.53                             Tree::Growth() (troll.cpp:1401 @ 4039dd)
  0.01   4957.57     0.53 960000000     0.00     0.00  Tree::CalcLAI() (troll.cpp:1202 @ 402c96)
  0.01   4958.09     0.52 654294700     0.00     0.00  __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) (cmath:434 @ 40fb09)
  0.01   4958.61     0.52                             void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:151 @ 4102c8)
  0.01   4959.13     0.52 81119964     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) (stl_iterator.h:726 @ 40fc9e)
  0.01   4959.64     0.51                             Tree::Fluxh(int) (troll.cpp:1272 @ 403122)
  0.01   4960.14     0.51                             flor(float) (troll.cpp:339 @ 40e225)
  0.01   4960.64     0.50 960000000     0.00     0.00  Tree::Average() (troll.cpp:1715 @ 4053d8)
  0.01   4961.14     0.50                             Tree::Fluxh(int) (troll.cpp:1273 @ 40312b)
  0.01   4961.63     0.49                             UpdateField() (troll.cpp:2691 @ 40a357)
  0.01   4962.11     0.48 654185552     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*) (stl_vector.h:1350 @ 40fe1c)
  0.01   4962.58     0.47 654301400     0.00     0.00  Tree::Growth() (troll.cpp:1329 @ 4034f0)
  0.01   4963.04     0.47                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:912 @ 40ea8f)
  0.01   4963.50     0.46                             UpdateTreefall() (troll.cpp:2988 @ 40b30d)
  0.01   4963.96     0.46                             genrand2() (troll.cpp:3476 @ 40da92)
  0.01   4964.42     0.46                             Tree::Growth() (troll.cpp:1391 @ 403871)
  0.01   4964.88     0.46                             void std::_Destroy<int*>(int*, int*) (stl_construct.h:126 @ 4107f6)
  0.01   4965.34     0.46                             Tree::Growth() (troll.cpp:1400 @ 4039cc)
  0.01   4965.79     0.45 681296615     0.00     0.00  Species::DeathRate(float, float, int) (troll.cpp:820 @ 40e504)
  0.01   4966.24     0.45                             Tree::CalcLAI() (troll.cpp:1223 @ 402e29)
  0.01   4966.69     0.45                             std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() (stl_vector.h:114 @ 4102a9)
  0.01   4967.13     0.44                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:942 @ 40f0e3)
  0.01   4967.56     0.43                             Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:576 @ 4021a9)
  0.01   4967.99     0.43                             Tree::Growth() (troll.cpp:1374 @ 403795)
  0.01   4968.41     0.42                             UpdateTreefall() (troll.cpp:2999 @ 40b37e)
  0.01   4968.82     0.42                             Tree::Birth(Species*, int, int) (troll.cpp:1097 @ 4024c2)
  0.01   4969.24     0.42                             Tree::Growth() (troll.cpp:1364 @ 40367c)
  0.01   4969.65     0.42                             Tree::CalcLAI() (troll.cpp:1217 @ 402d10)
  0.01   4970.06     0.41                             flor(float) (troll.cpp:341 @ 40e23d)
  0.01   4970.47     0.41                             genrand2i() (troll.cpp:3535 @ 40ddd3)
  0.01   4970.88     0.41                             Tree::CalcLAI() (troll.cpp:1226 @ 402d82)
  0.01   4971.28     0.40                             UpdateTree() (troll.cpp:2940 @ 40b04e)
  0.01   4971.67     0.40                             Tree::Growth() (troll.cpp:1336 @ 403535)
  0.01   4972.06     0.39                             Tree::CalcLAI() (troll.cpp:1216 @ 402cf3)
  0.01   4972.44     0.39                             Tree::CalcLAI() (troll.cpp:1236 @ 402e86)
  0.01   4972.83     0.39                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:907 @ 40ea1a)
  0.01   4973.21     0.38                             Tree::DisperseSeed() (troll.cpp:1552 @ 40438e)
  0.01   4973.58     0.38                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:926 @ 40ed83)
  0.01   4973.96     0.38                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:940 @ 40f077)
  0.01   4974.33     0.38                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:952 @ 40f2ff)
  0.01   4974.70     0.37                             genrand2() (troll.cpp:3482 @ 40db2f)
  0.01   4975.06     0.36 654301400     0.00     0.00  Tree::UpdateLeafDynamics() (troll.cpp:1439 @ 403b4a)
  0.01   4975.41     0.36                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:976 @ 40f443)
  0.01   4975.76     0.35                             Tree::Birth(Species*, int, int) (troll.cpp:1104 @ 402503)
  0.01   4976.11     0.35                             Tree::Average() (troll.cpp:1719 @ 40544a)
  0.01   4976.46     0.35 654185552     0.00     0.00  Tree::DisperseSeed() (troll.cpp:1537 @ 40416a)
  0.01   4976.81     0.35                             Tree::Birth(Species*, int, int) (troll.cpp:1106 @ 402528)
  0.01   4977.16     0.35                             Tree::Growth() (troll.cpp:1370 @ 40373d)
  0.01   4977.51     0.35                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:928 @ 40edef)
  0.01   4977.86     0.35                             genrand2i() (troll.cpp:3535 @ 40de41)
  0.01   4978.20     0.34                             sgenrand2(unsigned long) (troll.cpp:3464 @ 40da67)
  0.01   4978.54     0.34                             sgenrand2(unsigned long) (troll.cpp:3466 @ 40da83)
  0.01   4978.87     0.34                             genrand2() (troll.cpp:3486 @ 40dbaa)
  0.01   4979.21     0.34                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:954 @ 40f36b)
  0.01   4979.54     0.33                             Tree::Growth() (troll.cpp:1430 @ 403b28)
  0.01   4979.87     0.33                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:924 @ 40ed17)
  0.01   4980.19     0.33                             Tree::Growth() (troll.cpp:1332 @ 403501)
  0.01   4980.52     0.33                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:934 @ 40ef33)
  0.01   4980.84     0.32                             genrand2() (troll.cpp:3493 @ 40dc01)
  0.01   4981.15     0.32                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:944 @ 40f14f)
  0.01   4981.47     0.32                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:920 @ 40ec3f)
  0.01   4981.78     0.32                             Species::FillSeed(int, int) (troll.cpp:630 @ 4023c0)
  0.01   4982.09     0.31                             Species::DeathRateNDD(float, float, int, float) (troll.cpp:816 @ 40e4fa)
  0.01   4982.40     0.31                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:932 @ 40eec7)
  0.01   4982.71     0.31 305647461     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) (stl_vector.h:770 @ 40fc4a)
  0.01   4983.01     0.31                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:922 @ 40ecab)
  0.01   4983.32     0.31                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:914 @ 40eafb)
  0.01   4983.62     0.31                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:936 @ 40ef9f)
  0.01   4983.92     0.30                             UpdateTreefall() (troll.cpp:2981 @ 40b285)
  0.01   4984.22     0.30                             Tree::UpdateLeafDynamics() (troll.cpp:1454 @ 403be3)
  0.01   4984.52     0.30                             Tree::Growth() (troll.cpp:1335 @ 403528)
  0.01   4984.82     0.30                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:938 @ 40f00b)
  0.01   4985.11     0.30                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:950 @ 40f293)
  0.01   4985.40     0.29                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:918 @ 40ebd3)
  0.01   4985.69     0.29                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:956 @ 40f3d7)
  0.01   4985.98     0.29                             Tree::BirthFromData(Species*, int, int, float) (troll.cpp:1189 @ 402c93)
  0.01   4986.27     0.29                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:948 @ 40f227)
  0.01   4986.56     0.29                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:946 @ 40f1bb)
  0.01   4986.84     0.28                             Tree::FallTree() (troll.cpp:1666 @ 40506f)
  0.01   4987.11     0.28                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:916 @ 40eb67)
  0.01   4987.38     0.27                             Tree::Growth() (troll.cpp:1340 @ 40354e)
  0.01   4987.65     0.27                             Species::DeathRate(float, float, int) (troll.cpp:829 @ 40e5aa)
  0.01   4987.92     0.27                             genrand2i() (troll.cpp:3531 @ 40dd51)
  0.01   4988.18     0.26                             Tree::Birth(Species*, int, int) (troll.cpp:1126 @ 40274a)
  0.00   4988.42     0.25                             UpdateField() (troll.cpp:2746 @ 40a4b8)
  0.00   4988.67     0.25                             Tree::UpdateTreeBiometry() (troll.cpp:1476 @ 403e05)
  0.00   4988.91     0.25                             Species::FillSeed(int, int) (troll.cpp:627 @ 402391)
  0.00   4989.15     0.24                             Tree::UpdateTreeBiometry() (troll.cpp:1487 @ 403f37)
  0.00   4989.39     0.24                             Tree::Update() (troll.cpp:1594 @ 40474a)
  0.00   4989.63     0.24                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:930 @ 40ee5b)
  0.00   4989.87     0.24                             __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) (cmath:438 @ 40fb43)
  0.00   4990.11     0.24                             genrand2() (troll.cpp:3486 @ 40db3c)
  0.00   4990.34     0.23                             void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:152 @ 4102db)
  0.00   4990.56     0.22 311574376     0.00     0.00  std::vector<int, std::allocator<int> >::size() const (stl_vector.h:645 @ 40fc1a)
  0.00   4990.78     0.22                             Tree::Growth() (troll.cpp:1412 @ 403a03)
  0.00   4991.00     0.22                             Tree::FallTree() (troll.cpp:1663 @ 405063)
  0.00   4991.21     0.22                             Tree::Birth(Species*, int, int) (troll.cpp:1113 @ 4025f5)
  0.00   4991.42     0.21                             std::_Vector_base<int, std::allocator<int> >::~_Vector_base() (stl_vector.h:161 @ 410269)
  0.00   4991.62     0.20                             Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:577 @ 4021d6)
  0.00   4991.82     0.20                             Tree::Growth() (troll.cpp:1432 @ 403b47)
  0.00   4992.02     0.20                             Tree::CalcLAI() (troll.cpp:1222 @ 402e55)
  0.00   4992.22     0.20                             genrand2() (troll.cpp:3482 @ 40daba)
  0.00   4992.41     0.20                             Tree::Growth() (troll.cpp:1334 @ 40351b)
  0.00   4992.60     0.19                             bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:813 @ 40fd20)
  0.00   4992.78     0.18                             std::vector<int, std::allocator<int> >::end() (stl_vector.h:557 @ 40f8b9)
  0.00   4992.95     0.17 213506447     0.00     0.00  Tree::UpdateTreeBiometry() (troll.cpp:1470 @ 403d88)
  0.00   4993.12     0.17                             Tree::Update() (troll.cpp:1577 @ 4043db)
  0.00   4993.28     0.16                             Tree::UpdateLeafDynamics() (troll.cpp:1468 @ 403d85)
  0.00   4993.44     0.16                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::copy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (stl_algobase.h:461 @ 40fe14)
  0.00   4993.60     0.16                             int* std::copy_backward<int*, int*>(int*, int*, int*) (stl_algobase.h:619 @ 41058f)
  0.00   4993.75     0.15                             Tree::Update() (troll.cpp:1605 @ 404a44)
  0.00   4993.90     0.15                             Species::DeathRate(float, float, int) (troll.cpp:822 @ 40e522)
  0.00   4994.04     0.15                             flor(float) (troll.cpp:340 @ 40e237)
  0.00   4994.18     0.14      726     0.19     0.19  maxf(float, float) (troll.cpp:346 @ 40e247)
  0.00   4994.32     0.14 214399928     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const (stl_iterator.h:790 @ 40feae)
  0.00   4994.46     0.14                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (stl_algobase.h:429 @ 41054c)
  0.00   4994.59     0.13                             Average() (troll.cpp:3030 @ 40b4ad)
  0.00   4994.72     0.13                             Tree::DisperseSeed() (troll.cpp:1557 @ 404373)
  0.00   4994.85     0.13                             __gnu_cxx::new_allocator<int>::~new_allocator() (new_allocator.h:86 @ 410a2e)
  0.00   4994.97     0.13                             Tree::CalcLAI() (troll.cpp:1221 @ 402d20)
  0.00   4995.10     0.13                             Species::FillSeed(int, int) (troll.cpp:626 @ 402361)
  0.00   4995.22     0.12                             OutputField() (troll.cpp:3220 @ 40c98d)
  0.00   4995.34     0.12                             Tree::UpdateTreeBiometry() (troll.cpp:1474 @ 403d99)
  0.00   4995.46     0.12                             Tree::Growth() (troll.cpp:1420 @ 403a0f)
  0.00   4995.58     0.12                             Species::UpdateSeed() (troll.cpp:753 @ 40247f)
  0.00   4995.70     0.12                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:898 @ 40fe7b)
  0.00   4995.82     0.12                             std::_Iter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (stl_iterator_base_types.h:212 @ 41080b)
  0.00   4995.94     0.12                             void std::_Destroy<int*>(int*, int*) (stl_construct.h:128 @ 410809)
  0.00   4996.05     0.12                             Tree::Growth() (troll.cpp:1342 @ 403568)
  0.00   4996.17     0.12                             Tree::CalcLAI() (troll.cpp:1222 @ 402d2c)
  0.00   4996.28     0.11                             Tree::CalcLAI() (troll.cpp:1227 @ 402da3)
  0.00   4996.39     0.11                             __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int) (cmath:495 @ 40fbe8)
  0.00   4996.49     0.11                             genrand2() (troll.cpp:3490 @ 40dbb7)
  0.00   4996.59     0.10                             Species::FillSeed(int, int) (troll.cpp:615 @ 4022c9)
  0.00   4996.69     0.10                             Tree::Death() (troll.cpp:1519 @ 4040ac)
  0.00   4996.78     0.10                             Tree::CalcLAI() (troll.cpp:1224 @ 402d68)
  0.00   4996.88     0.10                             Tree::CalcLAI() (troll.cpp:1223 @ 402d4a)
  0.00   4996.97     0.09 147361510     0.00     0.00  Species::FillSeed(int, int) (troll.cpp:613 @ 4022b2)
  0.00   4997.06     0.09                             Species::FillSeed(int, int) (troll.cpp:616 @ 4022d8)
  0.00   4997.15     0.09                             bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:825 @ 40fd8b)
  0.00   4997.24     0.09        1    90.01    90.01  sgenrand2i(unsigned long) (troll.cpp:3509 @ 40dca7)
  0.00   4997.33     0.09                             Average() (troll.cpp:3071 @ 40ba49)
  0.00   4997.41     0.08                             Species::GPPleaf(float, float, float) (troll.cpp:885 @ 40e86d)
  0.00   4997.49     0.08                             std::allocator<int>::~allocator() (allocator.h:121 @ 4107c2)
  0.00   4997.57     0.08                             std::atan2(float, float) (cmath:164 @ 40e088)
  0.00   4997.64     0.08                             Tree::Couple() (troll.cpp:1707 @ 4053d1)
  0.00   4997.72     0.08                             Tree::Growth() (troll.cpp:1341 @ 40355b)
  0.00   4997.79     0.07                             Species::FillSeed(int, int) (troll.cpp:648 @ 40241b)
  0.00   4997.85     0.07                             Initialise() (troll.cpp:2071 @ 407412)
  0.00   4997.91     0.06 26080000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:4432 @ 40fcc3)
  0.00   4997.97     0.06 26080000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&, std::random_access_iterator_tag) (stl_algo.h:158 @ 4102f0)
  0.00   4998.03     0.06                             Average() (troll.cpp:3037 @ 40b573)
  0.00   4998.09     0.06                             Tree::Birth(Species*, int, int) (troll.cpp:1094 @ 40249d)
  0.00   4998.15     0.06                             Tree::Growth() (troll.cpp:1408 @ 4039f7)
  0.00   4998.21     0.06                             Tree::CalcLAI() (troll.cpp:1225 @ 402d75)
  0.00   4998.27     0.06                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:4441 @ 40fcdd)
  0.00   4998.32     0.05                             genrand2i() (troll.cpp:3539 @ 40de4e)
  0.00   4998.37     0.05 53599982     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:896 @ 40fe65)
  0.00   4998.42     0.05                             genrand2i() (troll.cpp:3528 @ 40dd3a)
  0.00   4998.47     0.05                             std::vector<int, std::allocator<int> >::begin() (stl_vector.h:539 @ 40f88f)
  0.00   4998.51     0.05                             genrand2i() (troll.cpp:3540 @ 40de6e)
  0.00   4998.55     0.04 27001915     0.00     0.00  Tree::Death() (troll.cpp:1513 @ 40408e)
  0.00   4998.59     0.04 26080000     0.00     0.00  bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:811 @ 40fd0a)
  0.00   4998.63     0.04 26080000     0.00     0.00  std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (vector.tcc:146 @ 40f9b8)
  0.00   4998.67     0.04                             Average() (troll.cpp:3116 @ 40c06e)
  0.00   4998.71     0.04                             Tree::UpdateTreeBiometry() (troll.cpp:1505 @ 40408b)
  0.00   4998.75     0.04                             Tree::Growth() (troll.cpp:1333 @ 40350e)
  0.00   4998.79     0.04                             int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:93 @ 410c81)
  0.00   4998.83     0.04                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::remove<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:1113 @ 40f9b0)
  0.00   4998.87     0.04                             UpdateField() (troll.cpp:2779 @ 40a6b9)
  0.00   4998.90     0.04                             Tree::Birth(Species*, int, int) (troll.cpp:1099 @ 4024e9)
  0.00   4998.94     0.04                             Species::FillSeed(int, int) (troll.cpp:617 @ 4022f1)
  0.00   4998.97     0.03 53599982     0.00     0.00  std::vector<int, std::allocator<int> >::end() (stl_vector.h:556 @ 40f8a8)
  0.00   4999.00     0.03  8639892     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*) (stl_algobase.h:277 @ 410afb)
  0.00   4999.03     0.03                             Average() (troll.cpp:3119 @ 40c0e3)
  0.00   4999.06     0.03                             AllocMem() (troll.cpp:2552 @ 409fce)
  0.00   4999.09     0.03                             Tree::Birth(Species*, int, int) (troll.cpp:1096 @ 4024b7)
  0.00   4999.12     0.03                             Tree::Growth() (troll.cpp:1337 @ 403542)
  0.00   4999.15     0.03                             Tree::Update() (troll.cpp:1586 @ 4044cd)
  0.00   4999.18     0.03                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&, std::random_access_iterator_tag) (stl_algo.h:183 @ 410401)
  0.00   4999.20     0.03 27519982     0.00     0.00  std::vector<int, std::allocator<int> >::begin() (stl_vector.h:538 @ 40f87e)
  0.00   4999.23     0.03  2879964     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) (stl_algobase.h:368 @ 410a7a)
  0.00   4999.25     0.03                             __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float) (cmath:438 @ 40f873)
  0.00   4999.28     0.03                             int* std::copy<int*, int*>(int*, int*, int*) (stl_algobase.h:460 @ 410cb4)
  0.00   4999.30     0.02 26080000     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:823 @ 40fd75)
  0.00   4999.32     0.02 26080000     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator_base_types.h:201 @ 4102dd)
  0.00   4999.34     0.02 26080000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::remove<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:1091 @ 40f8d6)
  0.00   4999.36     0.02  2879964     0.00     0.00  int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) (stl_algobase.h:424 @ 410ce5)
  0.00   4999.38     0.02                             Average() (troll.cpp:3029 @ 40b4a4)
  0.00   4999.40     0.02                             Average() (troll.cpp:3049 @ 40b731)
  0.00   4999.42     0.02                             genrand2i() (troll.cpp:3529 @ 40dd47)
  0.00   4999.44     0.02                             Tree::Birth(Species*, int, int) (troll.cpp:1095 @ 4024a7)
  0.00   4999.46     0.02                             Tree::Birth(Species*, int, int) (troll.cpp:1103 @ 4024f6)
  0.00   4999.48     0.02                             Tree::Update() (troll.cpp:1592 @ 40468d)
  0.00   4999.50     0.02                             Tree::FallTree() (troll.cpp:1644 @ 404bfa)
  0.00   4999.52     0.02                             Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:575 @ 40228f)
  0.00   4999.54     0.02                             Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:589 @ 4022a2)
  0.00   4999.56     0.02                             std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator_base_types.h:202 @ 4102ee)
  0.00   4999.58     0.02                             int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) (stl_uninitialized.h:258 @ 4109b4)
  0.00   4999.60     0.02                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::remove<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:1101 @ 40f8f0)
  0.00   4999.61     0.02                             OutputSnapshot(std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:3255 @ 40cba8)
  0.00   4999.63     0.02                             genrand2() (troll.cpp:3480 @ 40dab0)
  0.00   4999.64     0.02                             Tree::DisperseSeed() (troll.cpp:1552 @ 404261)
  0.00   4999.66     0.02                             Species::FillSeed(int, int) (troll.cpp:618 @ 402305)
  0.00   4999.67     0.02                             Species::DeathRate(float, float, int) (troll.cpp:830 @ 40e5c1)
  0.00   4999.68     0.01 27111063     0.00     0.00  Tree::Birth(Species*, int, int) (troll.cpp:1092 @ 402482)
  0.00   4999.69     0.01 14399820     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*) (stl_iterator_base_types.h:212 @ 410ae4)
  0.00   4999.70     0.01  2879964     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) (stl_uninitialized.h:256 @ 410997)
